Entidad federativa,Grupos quinquenales de edad,2010 Total,2010 Hombres,2010 Mujeres,2011 Total,2011 Hombres,2011 Mujeres,2012 Total,2012 Hombres,2012 Mujeres,2013 Total,2013 Hombres,2013 Mujeres,2014 Total,2014 Hombres,2014 Mujeres,2015 Total,2015 Hombres,2015 Mujeres,2016 Total,2016 Hombres,2016 Mujeres,2017 Total,2017 Hombres,2017 Mujeres
Durango,10 a 14 años,2,1,1,3,2,1,2,1,1,2,1,1,3,0,3,7,4,3,0,0,0,1,0,1
Durango,15 a 19 años,17,12,5,9,5,4,7,5,2,8,7,1,8,6,2,13,10,3,16,7,9,18,14,4
Durango,20 a 24 años,19,16,3,13,7,6,10,8,2,13,11,2,23,21,2,16,14,2,15,12,3,32,28,4
Durango,25 a 29 años,7,6,1,11,8,3,11,11,0,9,7,2,12,10,2,16,10,6,12,7,5,9,7,2
Durango,30 a 34 años,12,9,3,8,5,3,11,10,1,9,6,3,10,7,3,17,16,1,13,10,3,17,13,4
Durango,35 a 39 años,8,7,1,11,9,2,7,6,1,9,9,0,9,8,1,11,8,3,12,10,2,8,7,1
Durango,40 a 44 años,7,3,4,3,3,0,4,4,0,11,10,1,10,10,0,10,9,1,18,15,3,12,10,2
Durango,45 a 49 años,4,4,0,4,4,0,5,5,0,8,8,0,6,5,1,5,4,1,6,6,0,5,5,0
Durango,50 a 54 años,2,2,0,4,3,1,7,4,3,5,4,1,6,5,1,2,2,0,3,3,0,8,6,2
Durango,55 a 59 años,5,5,0,4,2,2,1,1,0,3,3,0,4,3,1,5,4,1,5,4,1,3,3,0
Durango,60 años y más,8,7,1,9,8,1,10,9,1,12,11,1,12,10,2,14,14,0,13,13,0,10,9,1
Durango,No especificado,3,2,1,7,7,0,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,1,1,0
Guanajuato,Total,283,221,62,358,285,73,338,263,75,351,284,67,422,347,75,466,384,82,459,401,58,494,411,83
Guanajuato,10 a 14 años,16,13,3,12,8,4,11,8,3,8,5,3,14,7,7,16,13,3,19,8,11,15,10,5
Guanajuato,15 a 19 años,49,33,16,73,56,17,69,50,19,59,41,18,70,55,15,89,67,22,75,58,17,52,42,10
Guanajuato,20 a 24 años,45,33,12,59,51,8,59,47,12,74,59,15,74,62,12,100,86,14,86,79,7,82,67,15
Guanajuato,25 a 29 años,37,30,7,50,42,8,35,26,9,51,46,5,68,57,11,60,52,8,73,68,5,92,77,15
Guanajuato,30 a 34 años,21,19,2,38,35,3,31,28,3,36,32,4,50,40,10,51,43,8,56,53,3,76,62,14
Guanajuato,35 a 39 años,33,31,2,25,16,9,27,19,8,32,27,5,47,38,9,41,35,6,38,37,1,55,49,6
Guanajuato,40 a 44 años,21,17,4,32,27,5,27,23,4,23,18,5,23,18,5,36,27,9,34,30,4,30,25,5
Guanajuato,45 a 49 años,15,7,8,17,9,8,20,12,8,15,15,0,23,21,2,13,11,2,28,22,6,35,30,5
Guanajuato,50 a 54 años,9,8,1,15,10,5,17,14,3,16,10,6,17,16,1,18,12,6,17,15,2,16,13,3
Guanajuato,55 a 59 años,10,7,3,13,8,5,7,6,1,11,10,1,9,8,1,8,6,2,9,7,2,20,16,4
Guanajuato,60 años y más,25,21,4,19,19,0,29,26,3,23,19,4,23,21,2,33,31,2,23,23,0,21,20,1
Guanajuato,No especificado,2,2,0,5,4,1,6,4,2,3,2,1,4,4,0,1,1,0,1,1,0,0,0,0
Guerrero,Total,91,65,26,90,56,34,90,62,28,104,69,35,81,56,25,73,48,25,83,52,31,73,54,19
Guerrero,10 a 14 años,4,2,2,6,1,5,3,1,2,4,2,2,4,1,3,3,2,1,6,1,5,3,3,0
Guerrero,15 a 19 años,15,7,8,16,6,10,16,5,11,21,7,14,16,7,9,14,6,8,17,9,8,13,10,3
Guerrero,20 a 24 años,13,11,2,15,7,8,14,9,5,13,8,5,11,8,3,11,7,4,21,14,7,10,7,3
Guerrero,25 a 29 años,6,4,2,9,6,3,11,9,2,18,14,4,9,7,2,5,5,0,8,5,3,11,9,2
Guerrero,30 a 34 años,11,6,5,10,7,3,6,5,1,7,5,2,5,4,1,8,4,4,6,5,1,5,4,1
Guerrero,35 a 39 años,13,10,3,6,4,2,10,9,1,7,5,2,8,5,3,8,4,4,5,2,3,10,5,5
Guerrero,40 a 44 años,5,4,1,6,5,1,6,6,0,11,8,3,8,7,1,7,7,0,2,2,0,6,6,0
Guerrero,45 a 49 años,8,7,1,4,4,0,7,4,3,3,3,0,3,3,0,4,3,1,0,0,0,1,0,1
Guerrero,50 a 54 años,3,3,0,4,3,1,3,2,1,3,2,1,4,3,1,4,3,1,3,3,0,3,3,0
Guerrero,55 a 59 años,4,3,1,3,3,0,2,2,0,4,4,0,2,2,0,3,3,0,4,1,3,1,0,1
Guerrero,60 años y más,8,7,1,9,8,1,11,9,2,12,10,2,11,9,2,5,3,2,8,8,0,9,6,3
Guerrero,No especificado,1,1,0,2,2,0,1,1,0,1,1,0,0,0,0,1,1,0,3,2,1,1,1,0
Hidalgo,Total,56,47,9,113,81,32,102,76,26,112,89,23,126,97,29,117,81,36,113,86,27,116,90,26
Hidalgo,10 a 14 años,2,0,2,14,9,5,10,5,5,0,0,0,5,4,1,9,7,2,13,8,5,4,3,1
Hidalgo,15 a 19 años,10,7,3,26,15,11,23,12,11,18,12,6,18,9,9,19,10,9,19,11,8,20,15,5
Hidalgo,20 a 24 años,10,10,0,18,14,4,15,13,2,12,7,5,15,13,2,25,13,12,7,7,0,14,11,3
Hidalgo,25 a 29 años,5,4,1,11,10,1,12,10,2,11,9,2,14,13,1,13,11,2,7,5,2,13,9,4
Hidalgo,30 a 34 años,4,4,0,9,4,5,9,7,2,15,13,2,12,9,3,11,10,1,14,11,3,13,10,3
Hidalgo,35 a 39 años,6,4,2,11,10,1,4,2,2,10,10,0,12,10,2,7,5,2,15,11,4,8,5,3
Hidalgo,40 a 44 años,6,6,0,6,4,2,4,4,0,8,7,1,16,13,3,8,6,2,6,5,1,6,5,1
Hidalgo,45 a 49 años,3,3,0,1,1,0,7,7,0,9,7,2,6,4,2,1,1,0,7,7,0,9,7,2
Hidalgo,50 a 54 años,4,4,0,0,0,0,5,5,0,11,8,3,9,7,2,5,3,2,6,4,2,14,12,2
Hidalgo,55 a 59 años,1,1,0,4,3,1,2,1,1,5,5,0,7,5,2,4,4,0,7,6,1,4,4,0
Hidalgo,60 años y más,5,4,1,13,11,2,11,10,1,13,11,2,12,10,2,15,11,4,12,11,1,11,9,2
